pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_pubdate
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,,,,,2011-08
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03000000,0.32000000,-0.32000000,0,2008-01
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21000000,0.06000000,-0.05000000,0,2023-08
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,3.20000000,-3.20000000,0,2017-03
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,,,,2011-08
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22000000,3.25000000,-3.25000000,0,2009-10
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76000000,0.11000000,-0.12000000,0,2023-08
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,2011-08
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84000000,0.23000000,-0.23000000,0,2008-12
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40000000,2.50000000,-2.50000000,0,2007-01
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.00000000,,,0,2008-04
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.03890000,1.67709000,-1.87256000,0,2022-09
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002000,2.50000000,-2.50000000,0,2017-03
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1796.40000000,8.30000000,-8.30000000,0,2004-01
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.41000000,0.67000000,-0.68000000,0,2021-07
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1724.00000000,50.00000000,-50.00000000,0,2003-01
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,,,,,2006-07
HD 145675 c,14 Her,1,2,Radial Velocity,2021,Multiple Observatories,25000.00000000,24000.00000000,-9200.00000000,0,2021-07
HD 145675 c,14 Her,1,2,Radial Velocity,2021,Multiple Observatories,15732.45889000,2654.17497000,-1896.09685000,0,2022-09
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.45000000,0.15000000,-0.15000000,0,2021-07
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,2006-07
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,800.80000000,11.70000000,-11.70000000,0,1997-07
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.50000000,0.60000000,-0.60000000,0,2007-09
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.50000000,0.60000000,-0.60000000,0,2007-01
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,2017-03
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38000000,2.01000000,-2.09000000,0,2020-12
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.30000000,3.20000000,-3.20000000,0,2008-06
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85000000,1.06000000,-0.92000000,0,2023-08
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,2011-08
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2015-03
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2015-03
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2010-08
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2008-12
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33000000,0.00000000,-0.01000000,0,2023-08
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.35060000,0.00780000,-0.00770000,0,2018-08
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.80000000,2.10000000,-4.50000000,0,2011-01
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883.00000000,32.40000000,-13.80000000,0,2011-01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,,,,2013-05
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,,,,2015-05
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,,,,2013-09
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,,,,2015-06
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,,,,,2021-10
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,,,,2010-05
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,,,,2004-10
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,,,,2008-01
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,406.00000000,4.00000000,-4.00000000,0,2022-04
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,416.00000000,2.00000000,-2.00000000,0,2015-05
Kepler-451 c,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2022,Multiple Observatories,1460.00000000,90.00000000,-90.00000000,0,2022-04
Kepler-451 d,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2022,Multiple Observatories,43.00000000,0.10000000,-0.10000000,0,2022-04
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,,,,2017-01
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10000000,2.50000000,-2.50000000,0,2009-12
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,345.40000000,3.80000000,-3.80000000,0,2015-11
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001000,2.50000000,-2.50000000,0,2017-03
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27000000,0.24000000,-0.09000000,0,2023-08
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.30000000,1.96000000,-1.96000000,0,2007-09
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.10000000,6.20000000,-6.20000000,0,2009-06
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1076.60000000,2.30000000,-2.30000000,0,2009-05
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078.00000000,2.00000000,-2.00000000,0,2010-04
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1100.80000000,7.20000000,-7.20000000,0,2004-01
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1083.20000000,1.80000000,-1.80000000,0,2007-01
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1076.60000000,1.30000000,-1.10000000,0,2021-05
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391.00000000,100.00000000,-87.00000000,0,2010-04
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,7586.00000000,727.00000000,-727.00000000,0,2007-01
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2287.00000000,19.00000000,-16.00000000,0,2021-05
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002.00000000,4018.00000000,-5095.00000000,0,2010-04
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,19000.00000000,11000.00000000,-4000.00000000,0,2021-05
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,11688.00000000,6209.25000000,-3287.25000000,0,2019-04
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,14965.00000000,12775.00000000,-4380.00000000,0,2015-11
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,,,,,2015-00
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.23100000,,,0,2015-04
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.23078500,0.00003600,-0.00003600,0,2006-07
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.23079690,0.00000730,-0.00000780,0,2021-05
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.23077000,0.00004000,-0.00004000,0,2004-01
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.22930000,0.00110000,-0.00110000,0,1995-11
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65126000,0.00070000,-0.00070000,0,2009-03
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65300000,0.00060000,-0.00060000,0,2002-12
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.64700000,0.00100000,-0.00100000,0,2004-01
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.64800000,0.00090000,-0.00090000,0,1997-01
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.60000000,,,0,2015-04
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.46531400,0.00090000,-0.00095000,0,2014-06
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65171000,0.00005300,-0.00005200,0,2021-07
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.67000000,0.01000000,-0.01000000,0,2004-10
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65162000,0.00070000,-0.00070000,0,2008-03
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65100000,0.00010000,-0.00010000,0,2012-11
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65160000,0.00010000,-0.00010000,0,2018-10
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65152000,0.00015000,-0.00015000,0,2015-01
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.38270000,0.00380000,-0.00380000,0,2021-07
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.41750000,0.00730000,-0.00730000,0,2015-01
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.37300000,0.02000000,-0.01800000,0,2014-06
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,43.93000000,0.25000000,-0.25000000,0,2004-10
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.38000000,0.00700000,-0.00700000,0,2012-11
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.39890000,0.00420000,-0.00430000,0,2018-10
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.34460000,0.00700000,-0.00700000,0,2008-03
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.37870000,0.00700000,-0.00700000,0,2009-03
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4825.00000000,39.00000000,-39.00000000,0,2015-01
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5360.00000000,400.00000000,-400.00000000,0,2002-12
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5574.20000000,93.80000000,-88.60000000,0,2018-10
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4545.00000000,1421.00000000,-1421.00000000,0,2004-01
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4867.00000000,25.00000000,-26.00000000,0,2014-06
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4909.00000000,30.00000000,-30.00000000,0,2012-11
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5370.00000000,230.00000000,-230.00000000,0,2009-03
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5218.00000000,230.00000000,-230.00000000,0,2008-03
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4820.00000000,77.00000000,-72.00000000,0,2021-07
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4517.40000000,77.80000000,-77.80000000,0,2004-10
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654582,0.00000101,-0.00000101,0,2017-07
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73700000,,,0,2019-09
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73655150,0.00000150,-0.00000150,0,2015-01
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,2.79674000,0.00010000,-0.00010000,0,2009-03
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,,,,,2020-07
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654600,0.00000300,-0.00000300,0,2012-11
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654740,0.00000130,-0.00000140,0,2018-10
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654740,0.00000130,-0.00000130,0,2018-09
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654780,0.00000160,-0.00000120,0,2014-06
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654000,0.00000300,-0.00000300,0,2011-08
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654450,0.00000140,-0.00000150,0,2021-07
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654604,0.00000016,-0.00000016,0,2021-04
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,2.80800000,0.00200000,-0.00200000,0,2004-10
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654370,0.00000520,-0.00000520,0,2011-09
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654170,0.00000250,-0.00000280,0,2014-09
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654625,0.00000015,-0.00000015,0,2023-03
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,,,,,2016-01
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73653900,0.00000700,-0.00000700,0,2016-04
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260.91000000,0.36000000,-0.36000000,0,2014-06
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260.70000000,1.10000000,-1.10000000,0,2009-03
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,261.20000000,0.40000000,-0.40000000,0,2012-11
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,262.00000000,0.51000000,-0.51000000,0,2015-01
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,259.88000000,0.29000000,-0.29000000,0,2018-10
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260.98000000,0.24000000,-0.24000000,0,2021-07
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260.00000000,1.10000000,-1.10000000,0,2008-03
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,899.00000000,19.00000000,-19.00000000,0,2008-12
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,874.77400000,16.27000000,-8.47000000,0,2010-01
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86000000,1.92000000,-3.71000000,0,2023-08
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.30000000,8.60000000,-8.60000000,0,2019-04
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.21487000,0.00016000,-0.00016000,0,2021-05
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.21500000,0.00060000,-0.00060000,0,2010-01
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.09570000,0.00830000,-0.00830000,0,2021-05
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.02100000,0.03400000,-0.03400000,0,2010-01
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01000000,0.55000000,-0.55000000,0,2010-01
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,796.00000000,7.40000000,-7.40000000,0,2016-01
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,763.00000000,17.00000000,-17.00000000,0,2011-12
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.10000000,14.80000000,-1.00000000,0,2019-11
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,996.00000000,1.50000000,-52.40000000,0,2019-11
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.68900000,0.01100000,-0.01100000,0,2004-01
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.68840000,0.00440000,-0.00440000,0,2017-03
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.69335000,0.00093000,-0.00097000,0,2021-05
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.68800000,0.00540000,-0.00540000,0,2019-04
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.68840000,0.00440000,-0.00440000,0,2006-07
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.69260000,0.00140000,-0.00140000,0,2015-06
75 Cet b,75 Cet,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,691.90000000,3.60000000,-3.60000000,0,2012-12
75 Cet b,75 Cet,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62000000,1.33000000,-1.69000000,0,2023-08
75 Cet c,75 Cet,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62000000,45.98000000,-40.47000000,0,2023-08
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.40000000,4.50000000,-4.50000000,0,2017-03
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.40000000,4.50000000,-4.50000000,0,2015-12
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.70000000,8.80000000,-8.80000000,0,2008-12
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,2011-08
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57000000,1.84000000,-1.94000000,0,2023-08
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,181.40000000,0.10000000,-0.10000000,0,2013-07
AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,,,,,2022-04
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,,,,,2005-08
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,8030.00000000,1800.00000000,-1800.00000000,0,2023-02
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,7520.00000000,1200.00000000,-1300.00000000,0,2023-02
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,9060.00000000,3650.00000000,-2480.00000000,0,2023-02
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46299910,,,0,2021-12
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46300040,0.00000580,-0.00000600,0,2022-04
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321000,,,0,2021-03
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46300000,0.00000200,-0.00000200,0,2021-05
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321000,0.00004000,-0.00004000,0,2020-06
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46308000,0.00006000,-0.00006000,0,2023-12
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321000,,,0,2020-08
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46314270,,,0,2023-10
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),,,,,2017-07
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46300000,0.00000200,-0.00000200,0,2022-05
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85882000,,,0,2023-10
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85969000,0.00008000,-0.00008000,0,2023-12
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85899100,,,0,2021-12
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85901900,0.00001600,-0.00001600,0,2021-05
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85901900,0.00000160,-0.00000160,0,2022-05
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85898200,0.00005300,-0.00005000,0,2022-04
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,Multiple Observatories,12.73596000,0.00793000,-0.00793000,0,2023-12
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,481.90000000,2.70000000,-2.80000000,0,2017-10
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,268.94000000,0.99000000,-0.99000000,0,2017-03
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,268.94000000,0.99000000,-0.99000000,0,2009-12
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22000000,0.44000000,-0.44000000,0,2016-04
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,137.48000000,0.34000000,-0.34000000,0,2013-06
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,379.63000000,2.01000000,-2.01000000,0,2009-12
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,379.63000000,2.00000000,-2.00000000,0,2017-03
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,621.99000000,10.20000000,-10.20000000,0,2009-12
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,578.20000000,5.40000000,-5.40000000,0,2012-09
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.68864400,0.00335300,-0.00341900,0,2018-03
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.68550000,0.00300000,-0.00310000,0,2016-10
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.68550000,0.00300000,-0.00300000,0,2017-03
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88000000,1.47000000,-1.47000000,0,2021-07
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,392.60000000,5.50000000,-5.50000000,0,2012-01
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,733.00000000,5.00000000,-8.00000000,0,2018-05
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,2590.00000000,300.00000000,-180.00000000,0,2015-04
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59000000,1.04000000,-1.04000000,0,2021-07
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,,,,2021-12
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48000000,60.79000000,-60.79000000,0,2021-07
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,1230.00000000,44.00000000,-40.00000000,0,2023-05
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,723.20000000,0.74000000,-0.74000000,0,2021-07
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,3.87280000,0.00040000,-0.00040000,0,2013-03
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,125.94000000,0.44000000,-0.44000000,0,2013-03
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,5.60000000,0.02000000,-0.02000000,0,2017-03
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,5.60000000,0.02000000,-0.02000000,0,2010-03
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,237.60000000,1.50000000,-1.50000000,0,2010-03
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48700000,0.00100000,-0.00100000,0,2000-12
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777000,0.00011000,-0.00011000,0,2017-03
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777000,0.00011000,-0.00011000,0,2006-07
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48790500,0.00007800,-0.00008100,0,2021-05
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,1634.00000000,13.00000000,-14.00000000,0,2020-09
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,1667.00000000,33.00000000,-31.00000000,0,2015-04
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.20000000,0.06000000,-0.08000000,0,2020-09
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,714.30000000,5.30000000,-5.30000000,0,2007-09
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,714.29999000,5.30000000,-5.30000000,0,2017-03
